timestamp,power(buggy),timestamp,power(normal)
0.000,138485.000,0.000,140922.000
10000.000,138485.000,10000.000,140922.000
20000.000,138485.000,20000.000,141793.500
30000.000,138485.000,30000.000,142665.000
40000.000,138742.750,40000.000,142665.000
50000.000,139000.500,50000.000,142665.000
60000.000,139000.500,60000.000,142665.000
70000.000,139000.500,70000.000,143042.250
80000.000,139375.500,80000.000,143419.500
90000.000,139750.500,90000.000,143419.500
100000.000,139750.500,100000.000,143419.500
110000.000,139750.500,110000.000,143419.500
120000.000,139750.500,120000.000,143677.250
130000.000,139750.500,130000.000,143935.000
140000.000,139954.750,140000.000,143935.000
150000.000,140159.000,150000.000,143935.000
160000.000,140159.000,160000.000,143935.000
170000.000,140159.000,170000.000,143822.000
180000.000,140162.750,180000.000,143709.000
190000.000,140166.500,190000.000,143709.000
200000.000,140166.500,200000.000,143709.000
210000.000,140166.500,210000.000,143709.000
220000.000,140166.500,220000.000,143621.750
230000.000,140166.500,230000.000,143534.500
240000.000,140178.750,240000.000,143534.500
250000.000,140191.000,250000.000,143534.500
260000.000,140191.000,260000.000,143534.500
270000.000,140191.000,270000.000,143556.750
280000.000,140225.750,280000.000,143579.000
290000.000,140260.500,290000.000,143579.000
300000.000,140260.500,300000.000,143579.000
310000.000,140260.500,310000.000,143579.000
320000.000,140260.500,320000.000,143797.750
330000.000,140260.500,330000.000,144016.500
340000.000,140983.500,340000.000,144016.500
350000.000,141706.500,350000.000,144016.500
360000.000,141706.500,360000.000,144016.500
370000.000,141706.500,370000.000,144398.250
380000.000,142112.000,380000.000,144780.000
390000.000,142517.500,390000.000,144780.000
400000.000,142517.500,400000.000,144780.000
410000.000,142517.500,410000.000,144780.000
420000.000,142517.500,420000.000,145111.000
430000.000,142517.500,430000.000,145442.000
440000.000,143224.250,440000.000,145442.000
450000.000,143931.000,450000.000,145442.000
460000.000,143931.000,460000.000,145442.000
470000.000,143931.000,470000.000,147258.500
480000.000,145395.500,480000.000,149075.000
490000.000,146860.000,490000.000,149075.000
500000.000,146860.000,500000.000,149075.000
510000.000,146860.000,510000.000,149075.000
520000.000,146860.000,520000.000,152653.610
530000.000,146860.000,530000.000,158713.860
540000.000,153326.750,540000.000,161195.500
550000.000,159793.500,550000.000,161195.500
560000.000,159793.500,560000.000,161195.500
570000.000,159793.500,,
580000.000,168559.000,,
590000.000,177324.500,,
